Name,Address,Picture,Summary,
Artopolis Bakery,"23-18 31st St #7

Astoria, NY 11105",https://infatuation.imgix.net/media/images/reviews/artopolis-bakery/banners/1519140241.18.jpg?auto=format&h=840&w=1336,"Artopolis serves a massive array of baked goods, along with some of the strongest coffee we’ve ever had. As soon as you walk into the bakery, which is located in a strip mall in northern Astoria, you’re hit with smells from the kitchen that will make you want to consume as many of these desserts as possible, immediately. They specialize in sweet and savory Greek pastries, like galaktoboureko, which is basically custard on flaky phyllo dough. As for the coffee, it’s similar to Turkish coffee, which if you’re not familiar, is very strong.",
Queens Comfort,"3618 30th Ave, Astoria, NY 11103

Queens, NY 11103",https://infatuation.imgix.net/media/reviews/queens-comfort/banners/Queens-Comfort_0.jpg?auto=format&h=840&w=1336,"We specialize in regional American food, nostalgia & fun.",
Gussy's Bar & Grille,"20-14 29th St Astoria, NY 11105",https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-9/577310_590843177610267_817860976_n.jpg?_nc_cat=106&ccb=3&_nc_sid=09cbfe&_nc_ohc=MApX-haKD6cAX8JFBa2&_nc_ht=scontent-lga3-2.xx&oh=70dca8585198ff95b5fa465451e7cd22&oe=60611D15,"Live Music every Friday & Saturday,Great Hospitality,Beer and Spirits.",
"Kurry Qulture
","36-05 30th Ave, Astoria, NY 11103",https://queenspost.com/wp-content/uploads/2020/07/Kurry-Qulture-3-2.jpg,"Awarded the ""2017, 2019 Best Indian Restaurant In Queens"" (Best of Boro), Kurry Qulture is NYC's first Indian restaurant to feature a seasonal menu. Located on the bustling 30th Avenue in Astoria, Queens, Kurry Qulture elevates the Indian dining experience with surprising-creative cuisine and attentive service in a chic yet casual ambience. Owner, Sonny Solomon, brings over 15 years of experience at some of NYC's most notable fine dining establishments. Since opening in November, 2015, Kurry Qulture has been featured in numerous publications including Michelin Guide 2017, Eater NY, Boro Magazine, Epoch Times, AM NY and by several local foodie bloggers. Five star online reviews rave about the cuisine and attentive commitment to the experience of every guest.",
Monika's Cafe Bar,"32-90 36th St, Astoria, NY 11106",https://s3-media0.fl.yelpcdn.com/bphoto/PZuolCdSpp_UUf1WiFYk9A/o.jpg,"Established in 1996.

A former carpet warehouse transformed into a hearty, bohemian, electric space that provides nourishment for the soul and belly. Read more about us in a August 1997 article in the New York Times written by Charlie LeDuff 'Artists Arrive. Cafes, of Course, Follow . . .', ""in the southern section of the neighborhood bounded by Broadway and 37th Avenue and 31st and Steinway Streets. They have not just arrived from overseas but from over the East River. They are the hipsters, the serious artists, the writers, the nouveau Manhattan Bohemes and our lovers on the velvet couch... '''People have gotten tired of living in the belly of the beast,''"" said Monica Constantinides, a 32-year-old native of Cyprus...Anchored by the Kaufman Studios, the American Museum of the Moving Image and their thousands of actors and artisans, the neighborhood has become an economically viable place to make business, make art and make a life.""",
Embers Steakhouse,"9519 3rd Ave Brooklyn, NY 11209",https://s3-media0.fl.yelpcdn.com/bphoto/i6iHVzM-6xGAfnz-SpBvWg/o.jpg,Brooklyn's Best Steak value since 1985. Quality Dry Aged meats grilled to perfection together with succulent seafood and classic cocktails in a warm setting with attentive and proffesional service.,
Kim Chee Korean Restaurant,"9324 3rd Ave Brooklyn, NY 11209

",https://s3-media0.fl.yelpcdn.com/bphoto/o2MDQArORWlXXaJvy8nQEA/o.jpg,,
Standard Burger,"8812 3rd Ave, Brooklyn, NY 11209",https://s3-media0.fl.yelpcdn.com/bphoto/68IPGf-komH17outE7HJOg/o.jpg,"Modern counter-serve eatery prepping creative & custom burgers, plus a potato bar & milkshakes",
Boca Santa,"480 Madison St

Brooklyn, NY 11221",https://s3-media0.fl.yelpcdn.com/bphoto/xAVFvgcbQyWlRI_z29ydJw/o.jpg,Cash-only eatery serving vegetable-forward Mexican fare in a simple setting.,https://www.gofundme.com/f/boca-santa-staff-relief-fund?utm_campaign=p_cf%20share-flow-1&utm_medium=copy_link&utm_source=customer
Calaca,"139 Putnam Ave Brooklyn, NY 11238",https://s3-media0.fl.yelpcdn.com/bphoto/2kbEWU021aqcVbopRkXotQ/o.jpg,Mexican food from the North Pacific coast of Mexico (Sinaloa),
